activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,1,32,1,2,2,2,45000.0,86.31,NA,NA,3,NA,NA,NA,NA,NA,120,NA,NA,2,2,2,2,45000,1,1,3,5,1,NA,115,20%-<30%,8,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,55-64,25-34,No,No,1,1,6,,,,,3,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,1,2,1,2,2,2,25000.0,56.08,NA,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,2,2,45000,1,1,3,5,1,NA,50,>60%,7,4,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,3,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,1,2,1,2,2,2,25000.0,56.08,NA,NA,3,NA,NA,NA,NA,NA,60,NA,NA,2,2,2,2,45000,1,1,3,5,1,NA,50,>60%,7,4,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,6,,,,,3,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,1,1,1,1,2,2,2,125000.0,97.0,6.125,0.335,2,2007.7,NA,675.0,NA,NA,360,NA,NA,2,2,2,2,125000,1,1,3,5,1,NA,45,20%-<30%,1,10,2,,,,,5,,,,,2,4,2,22,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,1,,,,,10,,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,1,1,1,1,2,2,2,65000.0,90.0,6.875,1.454,2,1837.27,NA,675.0,NA,NA,360,NA,NA,2,2,2,2,75000,1,1,3,5,1,NA,62,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,1,,,,,10,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,6,1,1,1,1,2,2,2,85000.0,95.0,6.625,0.125,2,1682.7,NA,675.0,NA,35.0,360,NA,NA,2,2,2,2,95000,1,1,3,5,1,NA,66,40,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,1,,,,,10,,,,2573,6.1,82300,90.46,793,1139,67
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,1,1,1,1,2,2,2,65000.0,87.0,6.25,0.241,2,1780.2,NA,675.0,152.5,66.0,360,NA,NA,2,2,2,2,75000,1,1,3,5,1,NA,36,20%-<30%,2,10,2,,,,,5,,,,,2,4,44,,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,NA,1,1,1,,,,,10,,,,4804,26.35,82300,95.37,1344,1724,62
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,31,1,2,2,2,55000.0,55.556,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,95000,1,1,3,5,1,NA,72,<20%,2,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,55-64,<25,Yes,No,1,1,1,,,,,3,,,,4810,33.35,82300,82.98,1153,1955,78
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,6,2,1,31,1,2,2,2,345000.0,79.63,6.375,0.054,2,2137.41,NA,675.0,NA,NA,360,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,163,30%-<36%,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,35-44,No,No,1,1,1,,,,,10,,,,2561,6.36,82300,124.96,1000,1228,63
2023,549300AR4BCLQFU47165,99999,IL,17187,17187870500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,31,1,2,2,2,55000.0,95.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,65000,1,1,3,5,1,NA,40,36,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,1,,,,,3,,,,4810,33.35,82300,82.98,1153,1955,78
